rank,feature,score,p_value,method
1,worst concave points,795.2233412145797,9.269317599611705e-102,anova_f_score
2,worst perimeter,719.598822602918,1.3273133036844684e-95,anova_f_score
3,mean concave points,703.3640310829362,3.1355776328143093e-94,anova_f_score
4,worst radius,687.4303666156251,7.2964274883407245e-93,anova_f_score
5,mean perimeter,565.4857549199432,1.0118150613694863e-81,anova_f_score
6,worst area,541.7136944299086,2.1500306158269736e-79,anova_f_score
7,mean radius,523.6139074486017,1.387363043106377e-77,anova_f_score
8,mean area,469.5164529562025,5.741181712594075e-72,anova_f_score
9,mean concavity,416.37487400408787,4.058059037762177e-66,anova_f_score
10,worst concavity,365.74738850219677,3.3515480433940303e-60,anova_f_score
11,mean compactness,269.46604199334104,7.418408279840986e-48,anova_f_score
12,worst compactness,257.92605713359956,2.8851214569502417e-46,anova_f_score
13,area error,214.85876256853456,4.296370610159022e-40,anova_f_score
14,radius error,212.4997673876535,9.611164811479914e-40,anova_f_score
15,perimeter error,198.42243988629852,1.2473045923793806e-37,anova_f_score
16,worst texture,115.51660782757354,3.740697041060872e-24,anova_f_score
17,worst symmetry,103.00780597036801,6.040556177898848e-22,anova_f_score
18,worst smoothness,102.30765295012311,8.057577771032532e-22,anova_f_score
19,concave points error,96.21930046096664,1.0030687133868364e-20,anova_f_score
20,mean texture,91.20625420859241,8.179106246001229e-20,anova_f_score
21,mean smoothness,82.34753778975492,3.509734726576945e-18,anova_f_score
22,mean symmetry,66.75130382442448,3.1017602328294107e-15,anova_f_score
23,worst fractal dimension,54.35301908501845,8.026835094603363e-13,anova_f_score
24,compactness error,41.984657947944676,2.4036098045421445e-10,anova_f_score
25,concavity error,30.922840958656487,4.595608133233537e-08,anova_f_score
26,smoothness error,2.2632151995262264,0.13317562840263966,anova_f_score
27,fractal dimension error,1.594031984359986,0.20740056674530122,anova_f_score
28,texture error,0.2592781644474866,0.6108644330955515,anova_f_score
29,symmetry error,0.07382929373986595,0.785964595740245,anova_f_score
30,mean fractal dimension,0.00047821117736673776,0.982562847858852,anova_f_score
